age,lx,mlx,flx,white_lx,white_mlx,white_flx,non_white_lx,non_white_mlx,non_white_flx,black_lx,black_mlx,black_flx
59  ,"86,781","82,895","90,734","88,194","84,715","91,772","79,689","73,335","85,710","75,828","68,092","83,165"
60  ,"85,847","81,753","90,007","87,303","83,622","91,083","78,491","71,137","84,759","74,478","66,453","82,091"
61  ,"84,833","80,517","89,214","86,329","82,431","90,327","77,226","70,330","83,747","73,061","64,746","80,950"
62  ,"83,737","79,185","88,353","85,270","81,139","89,502","75,691","68,711","82,671","71,574","62,972","79,739"
63  ,"82,557","77,753","87,423","84,124","79,743","88,606","74,484","67,017","81,526","70,018","61,136","78,455"
64  ,"81,293","76,220","86,424","82,891","78,240","87,641","73,004","65,252","80,308","68,393","59,243","77,094"
65  ,"79,945","74,583","85,355","81,571","76,627","86,606","71,450","63,418","79,013","66,699","57,298","75,653"
66  ,"78,510","72,842","84,213","80,161","74,902","85,498","69,823","61,520","77,639","64,940","55,308","74,132"
67  ,"76,985","70,996","82,993","78,657","73,065","84,310","68,122","59,559","76,184","63,115","53,274","72,530"
68  ,"75,367","69,045","81,687","77,056","71,118","83,036","66,340","57,527","74,642","61,216","51,116","70,841"
69  ,"73,650","66,992","80,287","75,355","69,064","81,666","64,467","55,413","73,004","59,232","49,027","69,055"
70  ,"71,832","64,839","78,784","73,549","66,905","80,191","62,497","53,213","71,264","57,158","46,790","67,169"
71  ,"69,911","62,589","77,174","71,638","64,647","78,607","60,428","50,924","69,418","54,990","44,472","65,178"
72  ,"67,886","60,244","75,453","69,620","62,289","76,910","58,265","48,558","67,468","52,738","42,087","63,087"
73  ,"65,756","57,803","73,618","67,492","59,828","75,094","56,024","46,135","65,421","50,425","39,665","60,910"
74  ,"63,519","55,263","71,665","65,249","57,257","73,155","53,727","43,684","63,289","48,081","37,248","58,667"
75  ,"61,174","52,624","69,591","62,888","54,574","71,089","51,389","41,227","61,080","45,730","34,867","56,372"
76  ,"58,722","49,892","67,393","60,409","51,783","68,139","49,017","38,775","56,796","43,382","32,536","54,031"
77  ,"56,165","47,075","65,066","57,814","48,894","66,555","46,609","36,330","56,434","41,035","30,254","51,640"
78  ,"53,506","44,185","62,607","55,109","45,921","64,079","44,161","33,888","53,998","38,681","28,013","49,193"
79  ,"50,750","41,235","60,010","52,298","42,879","61,459","41,665","31,444","51,450","36,309","25,802","46,681"
80  ,"47,900","38,238","57,272","49,388","39,783","58,690","39,117","26,997","45,816","33,912","23,613","44,096"
81  ,"44,962","35,207","54,389","46,384","36,648","55,770","36,515","26,549","46,081","31,487","21,444","41,436"
82  ,"41,941","32,154","51,359","43,292","33,488","52,695","33,863","24,107","43,245","29,037","19,302","38,700"
83  ,"38,841","29,091","48,179","40,117","30,315","49,462","31,167","21,682","40,310","26,570","17,199","35,892"
84  ,"35,668","26,030","44,846","36,863","27,141","46,069","28,437","19,293","37,280","24,099","15,155","33,020"
85  ,"32,428","22,983","41,360","33,535","23,975","42,513","25,689","16,960","34,161","21,644","13,198","30,096"
